record_type,source,source_value,industry,industry_group,sector,official_industry,cycle_tag,tag_source,source_vintage,resource_version
industry,,,Entertainment,Media & Entertainment,Communication Services,Entertainment,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Interactive Media & Services,Media & Entertainment,Communication Services,Interactive Media & Services,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Media,Media & Entertainment,Communication Services,Media,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Diversified Telecommunication Services,Telecommunication Services,Communication Services,Diversified Telecommunication Services,defensive,method_workbook,2021-gics,gics_reference_v1
industry,,,Wireless Telecommunication Services,Telecommunication Services,Communication Services,Wireless Telecommunication Services,defensive,method_workbook,2021-gics,gics_reference_v1
industry,,,Auto Components,Automobiles & Components,Consumer Discretionary,Automobile Components,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Automobiles,Automobiles & Components,Consumer Discretionary,Automobiles,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Household Durables,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Leisure Products,Consumer Durables & Apparel,Consumer Discretionary,Leisure Products,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,"Textiles, Apparel, Luxury Goods.",Consumer Durables & Apparel,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Diversified Consumer Services,Consumer Services,Consumer Discretionary,Diversified Consumer Services,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,"Hotels, Restaurants, Leisure",Consumer Services,Consumer Discretionary,"Hotels, Restaurants & Leisure",cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Distributors,Retailing,Consumer Discretionary,Distributors,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Broadline Retail,cyclical,method_workbook,2021-gics,gics_reference_v1
industry,,,Multiline Retail,Retailing,Consumer Discretionary,Broadline Retail,cyclical,method_workbook,2021-gics,gics_reference_v1
